profitable:JJ	লাভজনক
goods:NN	সামগ্রী
offices:NNS	দপ্তব়
chloride:NN	ক্লোরাইড
known.as:NN	পরিচিত
salinity:NN	লবণতা
sodium:NN	সোডিয়াম
acquiescence:NN	মৌনসম্মতি
project.manager:NN	প্রকল্প ম্যানেজার
boon:JJ	অনুগ্রহ
sixty:CD	ষাট
citywide:JJ	নগরব্যপী
fines:NNS	জরিমানা
asshole:NN	চরম গর্দভ
ostentation:NN	জাঁকজমক
report:VV	অভিযোগ করা
useless:JJ	অর্থহীন
clog:VV	অবরোধ করা
avidly:RB	লুব্ধভাবে
conjugal:JJ	দাম্পত্য
certification:NN	সত্যতা অনুমোদন
certification:NN	প্রমানীকরন
preservative:JJ	সংরক্ষক
condiment:NN	স্বাদবর্ধক
production:NN	উৎপাদন
coalition:NN	জোট
pulp:NN	মন্ড
seawater:NN	সমুদ্রের জল
soaps:NNS	সাবান
detergent:NN	ডিটার্জেন্ট
evaporation:NN	বাষ্পীভবন
fabric:NN	কাপড়
redundant:JJ	প্রয়োজনের অতিরিক্ত
fennel:NN	মৌরী
information:NN	অর্থবহ তথ্য
chicly:RB	সৌনাভ
open university:NN	উন্মুক্ত বিশ্ববিদ্যালয়
open.university:NN	উন্মুক্ত বিশ্ববিদ্যালয়
females:NNS	মেয়ে
high.standard:NN	উচ্চ মান
bedrooms:NNS	শোবার ঘর
males:NNS	ছেলে
standard:JJ	মান
appliances:NNS	সরঞ্জামাদি
restrict:VV	নিয়ন্ত্রণ করা
rooms:NNS	ঘর
fridge:NN	ফ্রিজ
candidates:NNS	আবেদনকারী
appliance:NN	সরঞ্জাম
organised:VV	আয়োজিত
maximum:NN	সর্বোচ্চ
micro-oven:NN	মাইক্রো ওভেন
poor:JJ	গরীব
solidarity:NN	সংহতি
quelling:NN	দমনকরা
thorn:NN	কাঁটা
thorn:NN	কন্টক
lousy:JJ	উকুনময়
banned:JJ	নিষিদ্ধ
non-controversial:JJ	অবিতর্কিত
cleanup:NN	পরিষ্করণ
housekeeping:NN	গৃহপরিচর্যা
routine:JJ	স্বাভাবিক
non-existent:JJ	অবিদ্যমান
lapsed:JJ	বাতিল
grinding:NN	চূর্ণ করা
target:NN	লক্ষ্য স্থির করা
condom:NN	কন্ডোম
perforated:JJ	ছিদ্র যুক্ত
leisure:NN	অবকাশ
twisting:NN	পাকানো
professional:NN	পেশাজীবি
suitability:NN	উপযোগিতা
conversely:RB	বিপরীতভাবে
saunf:NN	মৌরি
silver:NN	রজত
credibility:NN	বিশ্বাসযোগ্যতা
agility:NN	তৎপরতা
notable.award:NN	উল্লেখযোগ্য পূরস্কার
field:NN	ক্ষেত্র
specific.field:NN	নির্দিষ্ট ক্ষেত্র
recognized:JJ	পরিচিত
enduring:JJ	স্থায়ী
collectively:RB	সামগ্রিকভাবে
convenience:NN	সুবিধা
scholars:NNS	পন্ডিত
championships:NN	চ্যাম্পিয়নশিপ
olympic.games:NP	অলিম্পিক গেমস
amateur:NN	অপেশাদার
standing:NN	অবস্থান
non-league.sport:NN	নন-লিগ স্পোর্ট
cite:VV	উদ্ধৃতি দেওয়া
technique:NN	কৌশল
periodical:NN	পর্যায়ক্রমিক
feature-length.film:NN	পূর্ণদৈর্ঘ্য চলচ্চিত্র
personalities:NNS	ব্যক্তিত্ব
personality:NN	ব্যক্তিত্ব
innovative:JJ	প্রবর্তক
large:JJ	অনেক
mercy:NN	মাফ দেওয়া
underage:JJ	অপ্রাপ্তবয়স্ক
adroitness:NN	দক্ষতা
verandah:NN	বারান্দা
rupee:NN	রুপি
sliver:NN	রূপা
intonation:NN	কথা বলার সময় কন্ঠস্বরের ওজনের উত্থান-পতন
intonation:NN	স্বরভেদ
halcyon:NN	মাছরাঙা
doctor:NN	ডাক্তার
doctor:NN	চিকিৎসক
guidelines:NNS	নীতি নির্দেশাবলী
indication:NN	ইঙ্গিত
HSDPA:NN	এইচএসডিপিএ
landing:NN	অবতরন করা
wedlock:NN	বিবাহ বন্ধন
HDD:NN	হার্ডডিস্ক
later:JJ	পরে
mutual.respect:NN	পারস্পরিক শ্রদ্ধা
mutual:JJ	পারস্পরিক
abdurrahman:NP	আব্দুর রহ্‌মান
climate.change:NN	জলবায়ু পরিবর্তন
promise:NN	প্রতিজ্ঞা
biblical:JJ	বাইবেলিয়
abraham:NP	আব্রাহাম
tania:NP	তানিয়া
pillar:NN	থাম
pillar:NN	অবলম্বন
failure:NN	অকৃতকার্যতা
fain:RB	সানন্দে
faint:JJ	ক্ষীণ
faint:JJ	নিস্তেজ
aback:RB	বিস্মিত
aback:RB	আশ্চার্যান্বিত
abaddon:NN	নরক
abashed:JJ	হতভম্ব
abashed:JJ	অপ্রতিভ
abject:JJ	হীন
metabolic:JJ	বিপাকীয়
objection:NN	আপত্তি
acts:NNS	আইন
al-karim:NP	আল কারীম
lightsome:JJ	আলোকিত
ethic:NN	নীতিশাস্ত্র
office:NN	দপ্তর
judges:NNS	বিচারপতি
political.office:NN	রাজনৈতিক দপ্তর
sub-national:JJ	উপ-জাতীয়
first-level:JJ	প্রথম স্তর
citywide:JJ	শহর ব্যাপি
political.figures:NNS	রাজনৈতিক ব্যক্তিত্ব
speaking:NN	বলা হয়
spouse:NN	স্বামী বা স্ত্রী
confer:VV	খেতাব প্রদান করা
uncontroversial.deletion:NN	অবিতর্কিত অপসারণ
insufficiency:NN	অপর্যাপ্ততা
alternately:RB	একান্তরভাবে
poor:JJ	দূর্বল
muslims:NPS	মুসলমান
section:NN	অনুচ্ছেদ
awaken:VV	জাগ্রত করা
corroborate:VV	সমর্থিত হওয়া
entrapped:VV	ফাঁদে পড়া
wahhabis:NPS	ওহাবী
jocular:JJ	রসিক
clog:VV	অবরোধ করা
odyssey:NN	দুঃসাহসিক যাত্রা
spunky:JJ	সাহসী
convection:NN	পরিচলন
untrustworthiness:NN	বিশ্বাসঘাতকতা
condom:NN	গর্ভনিরোধক খাপবিশেষ
draconian:JJ	নির্মম
nourish:VV	লালন পালন করা
morphine:NN	বেদনা নাশক ঔষধ
condensation:NN	ঘনীভবন
condensation:NN	সংক্ষেপন
precariously:RB	অনিশ্চিতভাবে
dynastic:JJ	রাজবংশীয়
preventative:JJ	প্রতিষেধক
layering:NN	স্তরে স্তরে
sperm:NN	বীর্য
sperm:NN	শুক্র
sensitize:VV	সংবেদনশীল করা
amassing:NN	পুঞ্জীভূত করা
gore:NN	জমাট বাধা রক্ত
punctually:RB	সময়ানুবর্তীভাবে
aversion:NN	অনীহা
aversion:NN	বিরক্তি
apparatus:NN	যন্ত্রপাতি
nudge:VV	হালকাভাবে ঠেলা
consensus:NN	ঐকমত্য
pillar:NN	স্তম্ভ
fourth.pillar:NN	চতুর্থ স্তম্ভ
ruleset:NN	নীতিবিন্যাস
synopsis:NN	সারাংশ
foundation:NN	প্রতিষ্ঠান
resolution:NN	নিরসন
disagreement:NN	অনৈক্য
dispute:NN	সংঘাত
memory:NN	স্মৃতি
prone:JJ	প্রবণ
with:IN	সঙ্গে
shouting:NN	চিৎকার
unconfirmed:JJ	অসমর্থিত
propaganda:NN	প্রচার
caterpillar:NN	শুঁয়োপোকা
verifiable.evidence:NN	যাচাইযোগ্য সাক্ষ্যপ্রমান
subject-specific.guidelines:NN	নির্দিষ্ট বিষয়ের নির্দেশাবলী
topic:NN	আলোচ্য বিষয়
independent:NN	স্বাধীন
mourning:NN	শোক
references:NNS	তথ্যসূত্র
publications:NNS	প্রকাশনা
rabbits:NNS	খরগোশ
perceives:VVZ	উপলব্ধি করা
teheran:NP	তেহেরান
najaf:NP	নাজাফ
Istambul:NN	ইস্তাম্বুল
communism:NN	বামপন্থা
webspace:NN	ওয়েব স্পেস
reproduce:VV	জন্ম দেওয়া
fueloil:NN	জ্বালানী তেল
tableau:NN	স্থির উপস্থাপনা
landline:NN	ল্যান্ডলাইন
sporadic:JJ	বিচ্ছিন্ন
forborne:VV	বিরত থাকা
shipbuilding:NN	জাহাজ নির্মাণ
bioengineer:NN	জৈব প্রযুক্তিবিদ
verdict:NN	বিধান
verdict:NN	বিচারক এর রায়
congruent:JJ	সমাপতিত
ruined:JJ	ধ্বংসপ্রাপ্ত
squirrel:NN	কাঠবিড়ালী
medium-sized:JJ	মাঝারি-আকারের
squirrels:NNS	কাঠবিড়ালী
snake:NN	সাপ
snakes:NNS	সাপ
consuming:NN	খাওয়া
edible:NN	ভক্ষ্য
inedible:JJ	অখাদ্য
asshole:NN	চরম গর্দভ
such:JJ	এ ধরনের
such:JJ	এই রকম
shaded:JJ	প্রচ্ছায়িত
e-mail:NN	ইমেল
earthbound:JJ	পৃথিবী অভিমুখী
wikimedia:NN	উইকিমিডিয়া
wikimedia.foundation:NP	উইকিমিডিয়া ফাউন্ডেশন
trademark:NN	ট্রেডমার্ক
colon:NN	কোলন
mediawiki:NP	মিডিয়াউইকি
prefix:NN	উপসর্গ
encyclopedia:NP	বিশ্বকোষ
namespace:NN	নামস্থান
rift:NN	ফাটল
politician:NN	রাজনীতিবিদ
politician:NN	রাজনীতিবিদ
department:NN	দপ্তর
community:NN	সম্প্রদায়
new.insights:NNS	নতুন পরিজ্ঞান
insight:NN	পরিজ্ঞান
skills:NNS	দক্ষতা
tidbit:NN	জনশ্রুতির মুখোরচক অংশ
prowess:NN	দক্ষতা
cute:JJ	সুন্দর
thesis:NN	গবেষণা নথি
serene:JJ	প্রশান্ত
infinite.mercy:NN	অসীম দয়া
promise:NN	প্রতিশ্রুতি
sincere.faith:NN	আন্তরিক বিশ্বাস
eternal.life:NN	অনন্ত জীবন
salvation:NN	উদ্ধার
hesitate:VV	ইতস্ততঃ করা
eternal:JJ	অনন্ত
eternal:JJ	চিরন্তন শাশ্বত
eternal:JJ	অমর
acknowledge:VV	স্বীকার করা
unattainable:JJ	পাওয়ার বাইরে
generously:RB	উদারভাবে
unfathomable.mercy:NN	অপার করুণা
gratuitously:NN	বিনামুল্যে
sincere:JJ	আন্তরিক
sins:NNS	পাপ
desperate:NN	বেপরোয়া
gifts:NNS	উপহার
justification:NN	ন্যায্যতা
justification:NN	যথাযথতা
skirmishing:NN	দুই দলের মধ্যে লড়াই
misunderstand:VV	ভুল বোঝা
relaxation:NN	অবকাশ যাপন
promising:JJ	আশাপ্রদ
promising:JJ	অঙ্গীকারপূর্ণ
porn:JJ	অশ্লীল
pleat:NN	পোশাকের ভাঁজ
shell:NP	শেল
rape:NN	ধর্ষণ
draught:NN	ঔষধের মাত্রা
draught:NN	বায়ু-স্রোত
draught:NN	টানা
microorganisms:NNS	জীবাণু
disinfect:VV	জীবাণুমুক্ত করা
salty:JJ	লবণাক্ত
salty.environment:NN	লবণাক্ত পরিবেশ
stratosphere:NN	আন্তর-আকাশ
stratosphere:NN	বায়ুমণ্ডলের স্তরবিশেষ
umpire:NN	আম্পায়ার
umpire:NN	সালিসি
farm:NN	গোলাবাড়ি
farm:NN	খামার
fluid:NN	তরল
